x0,x1,x2,x3,x4,x5,x_mod_four_0,x_mod_four_1,x_mod_four_2,x_mod_four_3,x_mod_four_4,x_mod_four_5,x0_binary_one_count,x0_binary_zero_count,x0_binary_percent_one,x0_binary_percent_zero,x1_binary_one_count,x1_binary_zero_count,x1_binary_percent_one,x1_binary_percent_zero,x2_binary_one_count,x2_binary_zero_count,x2_binary_percent_one,x2_binary_percent_zero,x3_binary_one_count,x3_binary_zero_count,x3_binary_percent_one,x3_binary_percent_zero,x4_binary_one_count,x4_binary_zero_count,x4_binary_percent_one,x4_binary_percent_zero,x5_binary_one_count,x5_binary_zero_count,x5_binary_percent_one,x5_binary_percent_zero,x_mod_four_0_binary_one_count,x_mod_four_0_binary_zero_count,x_mod_four_0_binary_percent_one,x_mod_four_0_binary_percent_zero,x_mod_four_1_binary_one_count,x_mod_four_1_binary_zero_count,x_mod_four_1_binary_percent_one,x_mod_four_1_binary_percent_zero,x_mod_four_2_binary_one_count,x_mod_four_2_binary_zero_count,x_mod_four_2_binary_percent_one,x_mod_four_2_binary_percent_zero,x_mod_four_3_binary_one_count,x_mod_four_3_binary_zero_count,x_mod_four_3_binary_percent_one,x_mod_four_3_binary_percent_zero,x_mod_four_4_binary_one_count,x_mod_four_4_binary_zero_count,x_mod_four_4_binary_percent_one,x_mod_four_4_binary_percent_zero,x_mod_four_5_binary_one_count,x_mod_four_5_binary_zero_count,x_mod_four_5_binary_percent_one,x_mod_four_5_binary_percent_zero,collatz_average,x_mod_four_average
1.0,4.0,2.0,1.0,4.0,2.0,1.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,100.0,2.0,1.0,66.67,33.33,1.0,1.0,50.0,50.0,0.0,1.0,0.0,100.0,2.0,1.0,66.67,33.33,1.0,1.0,50.0,50.0,0.0,1.0,0.0,100.0,1.0,0.0,100.0,0.0,1.0,1.0,50.0,50.0,0.0,1.0,0.0,100.0,1.0,0.0,100.0,0.0,1.0,1.0,50.0,50.0,2.8,1.2
2.0,1.0,4.0,2.0,1.0,4.0,2.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,50.0,50.0,0.0,1.0,0.0,100.0,2.0,1.0,66.67,33.33,1.0,1.0,50.0,50.0,0.0,1.0,0.0,100.0,2.0,1.0,66.67,33.33,1.0,1.0,50.0,50.0,0.0,1.0,0.0,100.0,1.0,0.0,100.0,0.0,1.0,1.0,50.0,50.0,0.0,1.0,0.0,100.0,1.0,0.0,100.0,0.0,2.8,1.2
3.0,10.0,5.0,16.0,8.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,100.0,2.0,2.0,50.0,50.0,1.0,2.0,33.33,66.67,4.0,1.0,80.0,20.0,3.0,1.0,75.0,25.0,2.0,1.0,66.67,33.33,0.0,2.0,0.0,100.0,1.0,1.0,50.0,50.0,0.0,1.0,0.0,100.0,1.0,0.0,100.0,0.0,1.0,0.0,100.0,0.0,1.0,0.0,100.0,0.0,9.2,1.2
4.0,2.0,1.0,4.0,2.0,1.0,0.0,2.0,1.0,0.0,2.0,1.0,2.0,1.0,66.67,33.33,1.0,1.0,50.0,50.0,0.0,1.0,0.0,100.0,2.0,1.0,66.67,33.33,1.0,1.0,50.0,50.0,0.0,1.0,0.0,100.0,1.0,0.0,100.0,0.0,1.0,1.0,50.0,50.0,0.0,1.0,0.0,100.0,1.0,0.0,100.0,0.0,1.0,1.0,50.0,50.0,0.0,1.0,0.0,100.0,2.8,1.2
5.0,16.0,8.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,33.33,66.67,4.0,1.0,80.0,20.0,3.0,1.0,75.0,25.0,2.0,1.0,66.67,33.33,1.0,1.0,50.0,50.0,0.0,1.0,0.0,100.0,0.0,1.0,0.0,100.0,1.0,0.0,100.0,0.0,1.0,0.0,100.0,0.0,1.0,0.0,100.0,0.0,1.0,1.0,50.0,50.0,0.0,1.0,0.0,100.0,7.2,0.8
6.0,3.0,10.0,5.0,16.0,8.0,2.0,3.0,2.0,1.0,0.0,0.0,1.0,2.0,33.33,66.67,0.0,2.0,0.0,100.0,2.0,2.0,50.0,50.0,1.0,2.0,33.33,66.67,4.0,1.0,80.0,20.0,3.0,1.0,75.0,25.0,1.0,1.0,50.0,50.0,0.0,2.0,0.0,100.0,1.0,1.0,50.0,50.0,0.0,1.0,0.0,100.0,1.0,0.0,100.0,0.0,1.0,0.0,100.0,0.0,9.6,1.6
7.0,22.0,11.0,34.0,17.0,52.0,3.0,2.0,3.0,2.0,1.0,0.0,0.0,3.0,0.0,100.0,2.0,3.0,40.0,60.0,1.0,3.0,25.0,75.0,4.0,2.0,66.67,33.33,3.0,2.0,60.0,40.0,3.0,3.0,50.0,50.0,0.0,2.0,0.0,100.0,1.0,1.0,50.0,50.0,0.0,2.0,0.0,100.0,1.0,1.0,50.0,50.0,0.0,1.0,0.0,100.0,1.0,0.0,100.0,0.0,28.6,2.2
8.0,4.0,2.0,1.0,4.0,2.0,0.0,0.0,2.0,1.0,0.0,2.0,3.0,1.0,75.0,25.0,2.0,1.0,66.67,33.33,1.0,1.0,50.0,50.0,0.0,1.0,0.0,100.0,2.0,1.0,66.67,33.33,1.0,1.0,50.0,50.0,1.0,0.0,100.0,0.0,1.0,0.0,100.0,0.0,1.0,1.0,50.0,50.0,0.0,1.0,0.0,100.0,1.0,0.0,100.0,0.0,1.0,1.0,50.0,50.0,4.2,1.0
9.0,28.0,14.0,7.0,22.0,11.0,1.0,0.0,2.0,3.0,2.0,3.0,2.0,2.0,50.0,50.0,2.0,3.0,40.0,60.0,1.0,3.0,25.0,75.0,0.0,3.0,0.0,100.0,2.0,3.0,40.0,60.0,1.0,3.0,25.0,75.0,0.0,1.0,0.0,100.0,1.0,0.0,100.0,0.0,1.0,1.0,50.0,50.0,0.0,2.0,0.0,100.0,1.0,1.0,50.0,50.0,0.0,2.0,0.0,100.0,18.2,2.2
10.0,5.0,16.0,8.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,50.0,50.0,1.0,2.0,33.33,66.67,4.0,1.0,80.0,20.0,3.0,1.0,75.0,25.0,2.0,1.0,66.67,33.33,1.0,1.0,50.0,50.0,1.0,1.0,50.0,50.0,0.0,1.0,0.0,100.0,1.0,0.0,100.0,0.0,1.0,0.0,100.0,0.0,1.0,0.0,100.0,0.0,1.0,1.0,50.0,50.0,9.0,1.0
